Categoría: Todas las categorías

País,"Copa Mundial de Fútbol: (2/10/22, 17:43 - 9/10/22, 17:43)"
Corea del Norte,
Catar,100
Papúa Nueva Guinea,
Haití,57
Argentina,48
Tonga,
Islas Salomón,
Brasil,37
Uruguay,37
Nauru,
Maldivas,
Ecuador,22
Islas Cook,
Paraguay,22
Costa Rica,22
Gibraltar,
Pakistán,20
Bangladés,20
Anguila,
Guatemala,20
Mauritania,
Panamá,20
Vanuatu,
Bolivia,20
Nepal,20
Emiratos Árabes Unidos,17
Camerún,
Honduras,17
Países Bajos,17
El Salvador,17
Nicaragua,
México,17
Montserrat,
Mauricio,
Marruecos,14
Chile,14
Kuwait,14
Portugal,14
Líbano,14
Liberia,
Sáhara Occidental,
Omán,14
Senegal,
Jordania,14
Fiyi,
Timor-Leste,
Bélgica,14
Baréin,
Caribe neerlandés,
Andorra,
Bután,
Guyana,
San Marino,
Suiza,14
Guinea Ecuatorial,
Seychelles,
Colombia,14
Yibuti,
Perú,14
Malta,
Comoras,
Angola,
Sudán del Sur,
Guernesey,
Liechtenstein,
Luxemburgo,
San Martín,
Samoa,
Túnez,11
Nueva Zelanda,11
Togo,
Trinidad y Tobago,
Aruba,
Jersey,
Sudán,
Curazao,
Reino Unido,11
Yemen,
Islas Feroe,
Venezuela,11
Polonia,11
España,11
Sri Lanka,11
Ghana,11
Guinea,
Libia,
Guayana Francesa,
Arabia Saudí,11
Chad,
Afganistán,
Isla de Man,
Dinamarca,11
Cuba,
Alemania,11
Islas Turcas y Caicos,
Irlanda,11
Italia,11
Gambia,
Kiribati,
Benín,
Sierra Leona,
Australia,8
Cabo Verde,
Francia,8
República Centroafricana,
Ruanda,
Madagascar,
Islas Caimán,
Kenia,8
Côte d’Ivoire,
Serbia,8
Macao,
Siria,
Argelia,8
India,8
Níger,
Zimbabue,
Sint Maarten,
Corea del Sur,8
Bermudas,
Uganda,
Guinea-Bisáu,
Irak,8
Botsuana,
Belice,
Austria,8
Jamaica,
Hong Kong,8
Surinam,
Gabón,
Malaui,
Dominica,
Santa Lucía,
Brunéi,
Congo,
Somalia,
Singapur,8
Burundi,
Egipto,8
Croacia,8
San Bartolomé,
Islandia,
Polinesia Francesa,
Mozambique,
Martinica,
Macedonia del Norte,
Guadalupe,
Tanzania,
República Democrática del Congo,
Esuatini,
Palestina,
Namibia,
Noruega,5
San Vicente y las Granadinas,
Burkina Faso,
Reunión,
Santo Tomé y Príncipe,
Israel,5
Islas Malvinas (Islas Falkland),
Mali,
Suecia,5
Barbados,
Granada,
Etiopía,
Groenlandia,
Bosnia y Herzegovina,
Chipre,
Nueva Caledonia,
Malasia,5
Nigeria,5
China,
Sudáfrica,5
Lesoto,
Antigua y Barbuda,
Albania,
Irán,5
Mongolia,
Santa Elena,
Kosovo,
Georgia,
Montenegro,
Zambia,
San Cristóbal y Nieves,
Islas Vírgenes Británicas,
Vietnam,5
Canadá,5
República Dominicana,5
Samoa Americana,
Camboya,
Indonesia,5
Hungría,5
Turkmenistán,
Puerto Rico,
Grecia,5
Tayikistán,
Svalbard y Jan Mayen,
Bulgaria,
Turquía,2
Eslovenia,
Finlandia,2
Estados Unidos,2
Rumanía,2
Kirguistán,
Laos,
Taiwán,2
Kazajistán,2
Myanmar (Birmania),
Uzbekistán,
Armenia,
Eslovaquia,
Mayotte,
Estonia,
Islas Aland,
Azerbaiyán,
Chequia,2
Bahamas,
Japón,2
Islas Vírgenes de EE. UU.,
Letonia,
Islas Marshall,
Tailandia,2
Moldavia,
Lituania,
Guam,
Bielorrusia,
Ucrania,<1
Rusia,<1
Islas Marianas del Norte,
Filipinas,
Tuvalu,
Ciudad del Vaticano,
Antártida,
Territorios Australes Franceses,
Isla Bouvet,
Islas Cocos,
Isla de Navidad,
Eritrea,
Micronesia,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Mónaco,
Isla Norfolk,
Niue,
Islas Pitcairn,
Palaos,
Islas Georgia del Sur y Sandwich del Sur,
San Pedro y Miquelón,
Tokelau,
Islas menores alejadas de EE. UU.,
Wallis y Futuna,
